date,text,user,location,retweets,likes,cleaned_text,vader_score,textblob_score,sentiment,engagement
2023-10-25,Why is Tesla's website always down? #frustrated,user_88,London,37,45,tesla website always,0.0,0.0,neutral,82
2023-11-10,Amazing features in the new Tesla update. Well done!,user_89,Unknown,48,1,amazing feature new tesla update well done,0.7096,0.3681818181818182,positive,49
2023-10-20,Tesla stopped working after 2 days. Poor quality.,user_90,Unknown,49,85,tesla stopped working day poor quality,-0.6124,-0.4,negative,134
2023-12-13,Not sure how I feel about Tesla's new update. It's confusing.,user_91,Sydney,28,90,sure feel tesla new update confusing,0.1027,0.11212121212121212,positive,118
2023-11-27,I recommend Tesla to all my friends. Best product ever!,user_92,London,35,73,recommend tesla friend best product ever,0.872,1.0,positive,108
2023-10-04,Just bought Tesla and I'm really impressed with the quality!,user_93,Unknown,40,95,bought tesla really impressed quality,0.5256,1.0,positive,135
2023-11-22,"Tesla is okay, nothing special really.",user_94,New York,40,64,tesla okay nothing special really,-0.092,0.3523809523809524,negative,104
2023-12-07,Just bought Tesla and I'm really impressed with the quality!,user_95,Sydney,17,35,bought tesla really impressed quality,0.5256,1.0,positive,52
2023-10-07,Tesla customer service is terrible. Avoid at all costs.,user_96,Tokyo,18,80,tesla customer service terrible avoid cost,-0.6486,-1.0,negative,98
2023-10-09,Why is Tesla's website always down? #frustrated,user_97,Tokyo,16,77,tesla website always,0.0,0.0,neutral,93
2023-10-16,Why is Tesla's website always down? #frustrated,user_98,Sydney,15,94,tesla website always,0.0,0.0,neutral,109
2024-01-08,Amazing features in the new Tesla update. Well done!,user_99,New York,29,54,amazing feature new tesla update well done,0.7096,0.3681818181818182,positive,83
